Authors,Author,Year,Journal,DOI,Link,Abstract,Keywords,Num
Kralewski J.E.; Dowd B.E.; Cole-Adeniyi T.; Gans D.; Malakar L.; Elson B.,"Kralewski, John E. (7006526907); Dowd, Bryan E. (7006440979); Cole-Adeniyi, Titilope (25636920200); Gans, Dave (55543790100); Malakar, Lucy (25637690500); Elson, Bob (57205072019)",2008,Health Care Management Review,10.1097/01.HCM.0000318773.67395.ce,https://www.scopus.com/inward/record.uri?eid=2-s2.0-55549083869&doi=10.1097%2f01.HCM.0000318773.67395.ce&partnerID=40&md5=1448eb9f664e349c999b7250c8d5aa7c,"Background: A major factor limiting efficiency and quality gains from clinical information technologies is the lack of full use by the clinicians. Purpose: To identify the practice and physician characteristics that influence the use of e-scripts after adoption. Methods: Data were obtained from 27 primary care medical group practices that had e-script technology for 2 years. Physician and practice characteristics were obtained from the clinics, and the proportion of each physician's prescriptions sent electronically was calculated from the prescription records. Practice culture data were obtained from a survey of the physicians in each practice. Data were analyzed using hierarchal regression. Findings: Practice-level variables explain most of the variance in the use of e-scripts by physicians, although there are significant differences in use among specialties as well. General internists have slightly lower use rates and pediatricians have the highest rates. Larger practices and multispecialty practices have higher use rates, and five practice culture dimensions influence these rates; two have a negative influence and three (organizational trust, adaptive, and a business orientation) have a positive influence. Practice Implications: While previous studies have identified physician characteristics and product deficiencies as factors limiting the use of electronic information technologies in medical practices, our data indicate that the influence of these factors may be highly dependent on the culture of the practice. Consequently, practice administrators can improve physician acceptance and use of these technologies by making sure that there is a culture/technology fit before deciding on a product.",Electronic prescriptions; Information technologies; Medical group practices,2-s2.0-55549083869
Li S.; Rajapuri A.S.; Felix Gomez G.G.; Schleyer T.; Mendonca E.A.; Thyvalikakath T.P.,"Li, Shuning (57723038700); Rajapuri, Anushri Singh (57191089678); Felix Gomez, Grace Gomez (55801885100); Schleyer, Titus (55793336900); Mendonca, Eneida A. (7004308859); Thyvalikakath, Thankam P. (57218788427)",2022,Frontiers in Digital Health,10.3389/fdgth.2022.847080,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131239967&doi=10.3389%2ffdgth.2022.847080&partnerID=40&md5=0ab7d6ddddc3e5e1b350df4463f59b4d,"Background: Access to up-to-date patient medical history is essential for dental clinicians (DCs) to avoid potential harm to patients and to improve dental treatment outcomes. The predominant approach for dental clinicians (DCs) to gather patients' medical history is through patient-reported medical histories and medical consults. However, studies reported varied concordance and reliability of patient-reported medical conditions and medication histories compared to the patient medical records and this process also places a significant burden on patients. Information technology tools/platforms such as an integrated electronic health record containing an electronic dental record module may address these issues. However, these integrated systems are expensive and technically complex and may not be easily adopted by DCs in solo and small group practice who provide the most dental care. The recent expansion of regional healthcare information exchange (HIE) provides another approach, but to date, studies on connecting DCs with HIE are very limited. Our study objectives were to model different aspects of the current approaches to identify the strengths and weaknesses, and then model the HIE approach that addresses the weaknesses and retain the strengths of current approaches. The models of current approaches identified the people, resources, organizational aspects, workflow, and areas for improvement; while models of the HIE approach identified system requirements, functions, and processes that may be shared with software developers and other stakeholders for future development. Methods: There are three phases in this study. In Phase 1, we retrieved peer-reviewed PubMed indexed manuscripts published between January 2013 and November 2020 and extracted modeling related data from selected manuscripts. In Phase 2, we built models for the current approaches by using the Integrated DEFinition Method 0 function modeling method (IDEF0), the Unified Modeling Language (UML) Use Case Diagram, and Business Process Model and Notation (BPMN) methods. In Phase 3, we created three conceptual models for the HIE approach. Results: From the 47 manuscripts identified, three themes emerged: 1) medical consult process following patient-reported medical history, 2) integrated electronic dental record-electronic health record (EDR-EHR), and 3) HIE. Three models were built for each of the three themes. The use case diagrams described the actions of the dental patients, DCs, medical providers and the use of information systems (EDR-EHR/HIE). The IDEF0 models presented the major functions involved. The BPMN models depicted the detailed steps of the process and showed how the patient's medical history information flowed through different steps. The strengths and weaknesses revealed by the models of the three approaches were also compared. Conclusions: We successfully modeled the DCs' current approaches of accessing patient medical history and designed an HIE approach that addressed the current approaches' weaknesses as well as leveraged their strengths. Organizational management and end-users can use this information to decide the optimum approach to integrate dental and medical care. The illustrated models are comprehensive and can also be adopted by EHR and EDR vendors to develop a connection between dental systems and HIEs. Copyright © 2022 Li, Rajapuri, Felix Gomez, Schleyer, Mendonca and Thyvalikakath.",electronic dental record; electronic health record; health information exchange; medical consult; medical history; modeling; patient safety,2-s2.0-85131239967
Engelmann C.; Ametowobla D.,"Engelmann, Carsten (20734234000); Ametowobla, Dzifa (57190415753)",2017,Applied Clinical Informatics,10.4338/ACI-2016-06-RA-0100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019854108&doi=10.4338%2fACI-2016-06-RA-0100&partnerID=40&md5=1e84feca4e92121f3b0f682b537cf05f,"Background: Planning and controlling surgical operations hugely impacts upon productivity, patient safety, and surgeons’ careers. Established, specialized software for this task is being increasingly replaced by “Operating Room (OR)-modules” appended to enterprise-wide resource planning (ERP) systems. As a result, usability problems are re-emerging and require developers’ attention. Objective: Systematic evaluation of the functionality and social repercussions of a global, marketleading IT business control system (SAP R3, Germany), adapted for real-time OR process steering. Methods: Field study involving document analyses, interviews, and a 73-item survey addressed to 77 qualified (> 1-year system experience) senior planning executives (end users; “planners”) working in surgical departments of university hospitals. Results: Planners reported that 57% of electronic operation requests contained contradictory information. Key screens contained clinically irrelevant areas (36 +/- 29%). Compared to the legacy system, users reported either no improvements or worse performance, in regard to co-ordination of OR stakeholders, intra-day program changes, and safety. Planners concluded that the ERP-planning module was “non-intuitive” (66%), increased planning work (56%, p=0.002), and did not impact upon either organizational mishap spectrum or frequency. Interviews evidenced intra-institutional power shifts due to increased system complexity. Planners resented e.g. a trend towards increased personal culpability for mishap. Conclusions: Highly complex enterprise system extensions may not be directly suited to specific process steering tasks in a high risk/low error-environment like the OR. In view of surgeons’ high primary task load, the repeated call for simpler IT is an imperative for ERP extensions. System design should consider a) that current OR IT suffers from an input limitation regarding planning-relevant real-time data, and b) that there are social processes that strongly affect planning and particularly ERP use beyond algorithms. Real improvement of clinical IT tools requires their independent evaluation according to standards developed for pharmaceutical subjects. © Schattauer 2017.",Enterprise systems; Operation room list; Process steering software; Surgery; User interface,2-s2.0-85019854108
Thouin M.F.; Hoffman J.J.; Ford E.W.,"Thouin, Mark F. (24403216100); Hoffman, James J. (55420111400); Ford, Eric W. (57203018982)",2008,Health Care Management Review,10.1097/01.HMR.0000304491.03147.06,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37349001996&doi=10.1097%2f01.HMR.0000304491.03147.06&partnerID=40&md5=005e5e0f09b8751e3d86f23c0eb0b297,"BACKGROUND: The return on investment for information technology (IT) has been the subject of much debate throughout the history of management information systems research. Often referred to as the productivity paradox, increased IT investments have not been consistently associated with increased productivity. Understanding individual IT factors that directly contribute to business value should provide insight into the productivity paradox. PURPOSE: The effects of 3 different firm-level IT characteristics on financial performance in the health care industry are studied. Specifically, the effects of IT budget, IT outsourcing, and the relative number of IT personnel on firm-level financial performance are analyzed. METHODS: Regression analysis of archival survey data for 914 Integrated Healthcare Delivery Systems is performed. RESULTS: IT budgetary expenditures and the number of IT services outsourced are associated with increases in the profitability of Integrated Healthcare Delivery Systems, whereas increases in IT personnel are not significantly associated with increased profitability. Each one tenth of a percentage increase in IT expenditures is associated with approximately $100,000 in increased profit, and each additional IT service outsourced is associated with approximately $950,000 in increased profit for an average-sized Integrated Healthcare Delivery System. IMPLICATIONS: To increase profitability, IT administrators should increase IT budgetary expenditures along with IT outsourcing levels. IT administrators in the health care industry can use such findings during budgeting cycles to justify increased investments in IT personnel as being budget neutral while increasing organizational capacity. © 2008 Lippincott Williams & Wilkins, Inc.",Health care; IT outsourcing; IT payoff; Outsourcing; Productivity; Return on investment,2-s2.0-37349001996
Longo B.,"Longo, Bernadette (7003442690)",2014,IEEE Transactions on Professional Communication,10.1109/TPC.2014.2341437,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907501296&doi=10.1109%2fTPC.2014.2341437&partnerID=40&md5=dacc4386b465afd0f204a1f442ea2ec5,"Background: This case recounts my experiences during a four-year participatory design project with colleagues in Katanga Province of the Democratic Republic of Congo, where I attempted to develop a system for people working in rural areas to share business information via mobile phones.; Research questions: For the first phase of this project: How do businesspeople in Katanga Province use their cell phones to support their business operations? How do they want to use these phones in their businesses? How do their use and attitudes compare with those of graduate students at a Midwestern US university? For the second phase of this project: Can a cell-phone delivered information system be designed for artisanal miners and small farmers in Katanga Province to share local pricing information for copper, cobalt, and maize?; Situating the case: Researchers in participatory design for social and/or technological change have traditionally assumed that including users in early design phases will result in democratization of project outcomes. When these participatory design projects are situated in intercultural settings, however, they are complicated by political and economic conditions, as well as differences in values and social relations. Because participatory design relies on dialogue within robust, multimodal communication networks, weaknesses in this approach arise when trusted social relations are not in place upon which to build these multimodal communication networks. Cases of participatory design between colleagues in the US and Sub-Saharan Africa illustrate profound effects of political and economic inequities on participatory design projects.; Conclusions: Despite the need to abandon the project, this case raised these questions about participatory design for information and communication technologies (ICT) projects when collaborators do not 'speak the same language:' How can communication researchers effectively build trusted relationships with colleagues in developing nations in order to facilitate successful participatory design projects? Given the research obligations and reward structures at US universities, is it feasible for communication researchers to spend the time to build trusted relationships with colleagues in developing nations, which may not yield publishable research or quantifiable results for three years or more? Given the political and social conditions in many developing areas, can communication researchers rely on the stable conditions and personal relations that are necessary to conduct participatory design for ICT projects? © 1988-2012 IEEE.; Methodology: This is an experience report of a project that developed initially from a classroom project in which my students in the US conducted a communication audit for a partner based in Katanga Province in the Democratic Republic of Congo. A US-based nongovernmental organization (NGO) arranged the partnership and I later went to the field to carry out this project.; About the case: Working with an NGO while based exclusively in the US, we attempted to develop a system from which people working in rural areas could share business information, such as reporting business conditions in a rural location back to the NGO's Lubumbashi headquarters 75 km away, via mobile phones. The project did not work because people in Katanga were not familiar with the information design issues involved in the system and I was not familiar with the actual business situation at the NGO in Katanga. To address these issues, I traveled to the Democratic Republic of Congo and interviewed NGO staff and clients. But my presence in the NGO's Lubumbashi headquarters created irreparable social disruption. I continued the project with a new client in Katanga and revised goals for the information-sharing system, but that system, too, did not work for lack of a trusted social network of informants to participate in the information-sharing system. In the end, I was only able to complete an initial analysis of the needs.",Information and communication technologies (ICTs); Intercultural design; Mobile phones; Participatory design; Sub-Saharan Africa,2-s2.0-84907501296
Raju R.,"Raju, Ritu (57535043800)",2012,IEEE Transactions on Professional Communication,10.1109/TPC.2012.2207834,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865505921&doi=10.1109%2fTPC.2012.2207834&partnerID=40&md5=4ba29ac45c3fac319294a5e64324b020,"Background: This study examines the nature, manifestations and causes of communication problems in international outsourcing engagements. Specifically, it explores a case of business process outsourcing (BPO), which is the transfer of a number of business processes, such as payroll, supply chain management, and customer relations to an external supplier. In this case, a company based in the US outsourced its business processes to a company in India. Research questions: (1) If widespread proficiency in English is the reason for India's predominant position in outsourcing, then why do we hear about communication problems? (2) What are the causes of such problems? (3) In what forms and situations do they manifest? (4) How could technical communication offer solutions to ameliorate or minimize some of these communication problems? Situating the case: Similar cases studied include previous studies of call centers in the Philippines and outsourcing relationships in software companies have identified challenges in those relationships to problems of intercultural communications, such as language use and differences in culture. Three areas of inquiry informed this study. Intercultural communication theories provide frameworks and touch points for assessing the role of culture in communication. Previous studies of outsourcing and offshoring provided definitions of the broad range of arrangements that comprise outsourcing. Although these studies all concluded that communication is a crucial factor in the success of outsourced projects, they offered few details of communication problems, their causes, manifestations, and possible solutions. Accounts of India represent India as a rapidly-growing, dynamic economy with certain typical communication problems. Methodology: The study was designed as a mixed-methods, single-case study with a mix of quantitative and qualitative methods. Quantitative data were gathered through surveys that helped develop a picture of patterns in areas such as communication problems, preferred methods of communication, and patterns of escalation while qualitative data from 45 personal interviews and one group interview provided insights into the nature and resolution of communication dissonances. About the case: The case studied ABC Corporation, a captive Indian company that performed BPO for a major American corporation. Communication problems that arise in the outsourcing relationship include differences in corporate culture and differences in linguistic and rhetorical choices. Issues causing these problems include differences in education and training. Conclusions: Ongoing training in cross-cultural communication is needed at all stages of the outsourcing cycle, with an emphasis on communication skills in the early stages of the process, especially the hiring stage. Technical communication can offer solutions to these problems because our field can help structure suitable training applying theories such as Cross' Theory of centripetal and centrifugal forces, which provide frameworks for assessing and addressing communication problems. © 2012 IEEE.",Business process outsourcing (BPO); centripetal and centrifugal forces; India; intercultural communication; outsourcing,2-s2.0-84865505921
Vandergriff L.J.,"Vandergriff, Linda J. (55909453800)",2008,VINE,10.1108/03055720810917697,https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249115354&doi=10.1108%2f03055720810917697&partnerID=40&md5=0cb58f1c0c5ed28612a4bed77f9c1c73,"Purpose - Aid knowledge management (KM) and business intelligence (BI) practitioners explore and exploit the Intelligence Age complex venture model focusing on intelligence as an emergent behavior. The paper aims to extend the discrete model used by classical system engineering (SE) for a wisdom, knowledge, information, data, and measurement (WKIDM) pyramid to add a wrapper of emergent intelligence to support successful decision making and implementation. Design/methodology/approach - Building on previous theoretical complex venture work, this research explores the value of extending the WKIDM or ""Knowledge Pyramid"" model proposed by classical SE and KM approaches. The resultant IWKIDM model builds on the insights derived from chaos and complexity theories; KM research; observations of several acquisition successes and failures; and doctoral research on agile enterprise decision support. Findings - The paper finds that successful classical SE complicated systems models built with the closed system assumptions of linearity, predictability, and context independence do not scale to the needed open system Intelligence Age solutions. It is necessary to build on a Complex Venture model that guides the engineering solutions that: leverage emergent behavior insights to develop an improved intelligence model for the interaction of complex venture intellectual capital (i.e., self-organizing agents) with the WKIDM pyramid entities and the intelligence products consumer context; and examine WKIDM pyramid levels of abstraction for detachable and complex representations (e.g., explicit versus tacit knowledge). Originality/value - A complex venture conceptual model informs the architecture and systems engineering acquisition practices for new solution category to empower the venture's intellectual capital to produce needed emergent intelligence.",Intellectual capital; Intelligence; Knowledge management; Systems engineering,2-s2.0-55249115354
Serrano A.; Den Hengst M.,"Serrano, Alan (55039826300); Den Hengst, Mariëlle (6507446646)",2005,Journal of Enterprise Information Management,10.1108/17410390510628427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27844557323&doi=10.1108%2f17410390510628427&partnerID=40&md5=a505cb61fe4aa9c63d1f61b605635146,"Purpose - Business process (BP) and information systems (IS) communities support the idea that BP and IS design should be integrated. Although there are a large number of modelling techniques to aid BP and IS design, there is little indication of which techniques can be suitable to model their integration. This research suggests a simulation model that can be used to depict BP/IS integration. Design/methodology/approach - The simulation framework proposed in this paper is based on a simulation framework used previously. For both frameworks, a single case study approach is employed for theory building and testing. The results provided by the application of the ASSESS-IT framework (theory testing) are used to propose the new ISBPS framework (theory building), which is tested again in the case study. Findings - The models derived from the ISBPS framework provide quantifiable metrics of the integration of BP and IS. These data can help analysts to foresee the benefits that the insertion of a given IS design may bring to the organisational processes. Research limitations/implications - The development of the ISBPS models proved to be complex. Further research should focus on testing the ISBPS framework with more complex IS and to provide mechanisms to facilitate their design. Practical implications - IS practitioners may consider simulation to evaluate IS design strategies. Originality/value - The ISBPS simulation model provides quantifiable metrics of the integration of a given IS design within a given BP scenario. Practitioners can use these models to test alternative BP/IS scenarios before implementation. © Emerald Group Publishing Limited.",Information systems; Integration; Process management; Simulation,2-s2.0-27844557323
Motwani J.; Prasad S.; Tata J.,"Motwani, Jaideep (35562493100); Prasad, Sameer (7403003191); Tata, Jasmine (7101690060)",2005,TQM Magazine,10.1108/09544780510573057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-13844254927&doi=10.1108%2f09544780510573057&partnerID=40&md5=e510169f0a01657e839338152678beb6,"Purpose - Business process change (BPC) is an organizational initiative to achieve significant improvement in performance and has been extensively reported in the information systems literature. Total quality management (TQM) has been employed to improve the quality of processes within a business unit In this research an attempt is made to link BPC with TQM. Design/methodology/approach - Using case-study methodology, an attempt is made to connect the two fields. Specifically, examines how quality management falls within the various BPC constructs. Findings - Results of this study indicate that the BPC concept is generalizable to accommodate TQM. Originality/value - This has important ramifications for both practitioners and researchers. Practitioners will now have a methodology that is flexible to adjust as the demands of the business evolve from quality objectives into other needs such as mass customization and shortened lead times. The results of this study provide a theoretical model to the evolution of quality management.",Business process re-engineering; Information systems; Quality management,2-s2.0-13844254927
Ford E.W.; Hughes J.A.,"Ford, Eric W. (57203018982); Hughes, Julia A. (55449763500)",2007,Supply Chain Management,10.1108/13598540710724383,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846533109&doi=10.1108%2f13598540710724383&partnerID=40&md5=277ddc57f432ebe672bf8820c419e950,"Purpose - Collaborative product commerce (CPC) techniques are being applied with greater frequency in the health care sector. The purpose of this paper is to explore the potential barriers to their success in influencing cost and quality. Design/methodology/approach - The health care supply chain (SC) is analyzed and five national health initiatives attempting to apply CPC techniques are described. Findings - Five national-level programs designed to improve health care quality and control costs use a variety of CPC techniques to create incentives and/or disincentives to influence suppliers' behavior. Six barriers to success are identified that threaten healthcare CPC initiatives. They include: widespread resistance to change; information system limitations; the Health Insurance Portability and Accountability Act (HIPAA); the required time investment; lack of commitment to CPC principles; and the sustainability of the CPC business model. Research implications/limitations - Investigation into the barriers to success is warranted to develop evidence-based solutions to improve effectiveness of CPC approaches in health care. Practical implications - No national health care initiative to date can be described as an unqualified success in terms of its ability to align the SC. Nevertheless, individually, and to some extent collectively, the aforementioned programs are making some headway. Originality/value - This work is one of the first to present information on how collective CPC efforts are taking shape in health care and to describe key national-level projects currently underway in the field. Such information can offer policymakers and employers insight into how CPC techniques might improve effectiveness in health benefit contracting. © Emerald Group Publishing Limited.",Health services; Patients; Safety; Strategic alliances; Supply chain management,2-s2.0-33846533109
